"name","label","typeName","alias","country","dataset","dictionary","entity"
"P04M","Mes de nacimiento","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"P04A","Año de nacimiento","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"P05","En que país nació","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"P06C","Pais de nacimiento","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"P1707","Sabe leer y escribir","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"P1808","Asiste o asistió a un establecimiento educativo","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"P1909","Nivel educativo que cursa o cursó","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"P2010","Completó ese nivel","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"P2111A","Último grado o año que aprobó en ese nivel","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"P2111B","Ningun grado o año aprobado","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"P2111C","Grado o año aprobado ignorado","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"P2212","Utiliza computadora","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"P2513","La semana pasada, trabajó al menos una hora","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"P2614","La semana pasada, hizo alguna changa o algo para vender afuera","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"P2715","La semana pasada, estuvo de licencia por vacaciones o enfermedad","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"P2816","En las últimas 4 semanas, estuvo buscando trabajo","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"P1305","Cobertura de salud","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"P07","Año de llegada a la Argentina","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"P08M","Que Provincia Nació","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"P09M","Donde viviá hace 5 años","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"P10","En que municipio vivia hace 5 años","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"P11M","Donde vive habitualmente","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"P12","En que municipio vive habitualmente","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"P14A","Dificultad o limitación permanente para ver","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"P14B","Dificultad o limitación permanente para oír","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"P14C","Dificultad o limitación permanente para caminar o subir","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"P14D","Dificultad o limitación permanente para agarrar objetos","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"P14E","Dificultad o limitación permanente para entender y/o aprender","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"P15","Recibe jubilación o pensión","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
