country,dataset,entity,name,label,typeName,tema_detectado
brasil,CP2010BRA,DMARCAS,M0220,Marca de imputação na V0220,integer,sin_clasificar
brasil,CP2010BRA,DMARCAS,M0221,Marca de imputação na V0221,integer,sin_clasificar
brasil,CP2010BRA,DMARCAS,M0222,Marca de imputação na V0222,integer,sin_clasificar
brasil,CP2010BRA,DMARCAS,M0301,Marca de imputação na V0301,integer,sin_clasificar
brasil,CP2010BRA,DMARCAS,M0401,Marca de imputação na V0401,integer,sin_clasificar
brasil,CP2010BRA,DMARCAS,M0402,Marca de imputação na V0402,integer,sin_clasificar
brasil,CP2010BRA,DMARCAS,M0701,Marca de imputação na V0701,integer,sin_clasificar
brasil,CP2010BRA,DMARCAS,M2011,Marca de imputação na V2011,integer,sin_clasificar
brasil,CP2010BRA,DOMICIL,AGUA,Abastecimento de água,integer,sin_clasificar
brasil,CP2010BRA,DOMICIL,ALUGUEL,Valor do aluguel,integer,sin_clasificar
brasil,CP2010BRA,DOMICIL,ALUGUELSM,Aluguel em nº de salários mínimos,real,sin_clasificar
brasil,CP2010BRA,DOMICIL,AUTO,"Automóvel para uso particular, existência",integer,sin_clasificar
brasil,CP2010BRA,DOMICIL,BANHEIROS,Banheiros de uso exclusivo,integer,sin_clasificar
brasil,CP2010BRA,DOMICIL,CANALIZ,Água canalizada,integer,sin_clasificar
brasil,CP2010BRA,DOMICIL,CELULAR,"Telefone celular, existência",integer,sin_clasificar
brasil,CP2010BRA,DOMICIL,COMODOS,Cômodos,integer,sin_clasificar
brasil,CP2010BRA,DOMICIL,CONDOCUP,Condição de ocupação,integer,sin_clasificar
brasil,CP2010BRA,DOMICIL,CONTROLE,Controle,integer,sin_clasificar
brasil,CP2010BRA,DOMICIL,DENSICOM,Densidade de moradores por cômodo,integer,sin_clasificar
brasil,CP2010BRA,DOMICIL,DENSIDOR,Densidade de moradores por dormitório,integer,sin_clasificar
brasil,CP2010BRA,DOMICIL,DORMIT,Dormitórios,integer,sin_clasificar
brasil,CP2010BRA,DOMICIL,DPESO,Peso Amostral,real,sin_clasificar
brasil,CP2010BRA,DOMICIL,ELETRIC,Energia elétrica,integer,sin_clasificar
brasil,CP2010BRA,DOMICIL,ESGOTO,Esgotamento sanitário,integer,sin_clasificar
brasil,CP2010BRA,DOMICIL,ESPECIE,Espécie de Unidade Visitada,integer,sin_clasificar
brasil,CP2010BRA,DOMICIL,ESPECIED,Espécie da Unidade Doméstica,integer,sin_clasificar
brasil,CP2010BRA,DOMICIL,FALECEU,Alguém faleceu nos 12 meses anteriores,integer,sin_clasificar
brasil,CP2010BRA,DOMICIL,FORA,Alguém reside fora do país,integer,sin_clasificar
brasil,CP2010BRA,DOMICIL,GELADEIRA,"Geladeira, existência",integer,sin_clasificar
brasil,CP2010BRA,DOMICIL,INTERNET,"Microcomputador com acesso à internet, existência",integer,sin_clasificar
brasil,CP2010BRA,DOMICIL,LAVAR,"Máquina de lavar roupa, existência",integer,sin_clasificar
brasil,CP2010BRA,DOMICIL,LIXO,"Lixo, destino",integer,sin_clasificar
brasil,CP2010BRA,DOMICIL,MEDIDOR,Medidor ou relógio para energia elétrica,integer,sin_clasificar
brasil,CP2010BRA,DOMICIL,MICROCOMP,"Microcomputador, existência",integer,sin_clasificar
brasil,CP2010BRA,DOMICIL,MORADOR,Quantos moradores,integer,sin_clasificar
brasil,CP2010BRA,DOMICIL,MOTO,"Motocicleta para uso particular, existência",integer,sin_clasificar
brasil,CP2010BRA,DOMICIL,PAREDES,Paredes externas,integer,sin_clasificar
brasil,CP2010BRA,DOMICIL,PERCAPITA,Rendimento mensal domiciliar per capita,integer,sin_clasificar
brasil,CP2010BRA,DOMICIL,PERCAPTAS,Rendimento mensal domiciliar per capita em Salários Mínimos,real,sin_clasificar
brasil,CP2010BRA,DOMICIL,PESO,Peso Amostral,real,sin_clasificar
brasil,CP2010BRA,DOMICIL,RADIO,"Rádio, existência",integer,sin_clasificar
brasil,CP2010BRA,DOMICIL,RENDIM,Rendimento mensal domiciliar,integer,sin_clasificar
brasil,CP2010BRA,DOMICIL,RENDIMSM,Rendimento mensal domiciliar em Salários Mínimos,real,sin_clasificar
brasil,CP2010BRA,DOMICIL,RESPONSA,Responsabilidade pelo domicílio,integer,sin_clasificar
brasil,CP2010BRA,DOMICIL,SANITAR,Sanitário ou buraco para dejeções,integer,sin_clasificar
brasil,CP2010BRA,DOMICIL,SITUACAO,Situação do domicílio,integer,sin_clasificar
brasil,CP2010BRA,DOMICIL,TELEFONE,"Telefone fixo, existência",integer,sin_clasificar
brasil,CP2010BRA,DOMICIL,TIPO,Tipo de Espécie,integer,sin_clasificar
brasil,CP2010BRA,DOMICIL,TV,Televisão,integer,sin_clasificar
brasil,CP2010BRA,EMIGRA,EMNASC,Ano de Nascimento do emigrante,integer,sin_clasificar
brasil,CP2010BRA,EMIGRA,EMPAIS,País de Residência,integer,sin_clasificar
brasil,CP2010BRA,EMIGRA,EMPAISA,País de residência - 3 dígitos,integer,sin_clasificar
brasil,CP2010BRA,EMIGRA,EMPART,Ano da última partida do emigrante,integer,sin_clasificar
brasil,CP2010BRA,EMIGRA,EMSEXO,Sexo do emigrante,integer,sin_clasificar
brasil,CP2010BRA,EMIGRA,M0303,Marca de imputação da V0303,integer,sin_clasificar
brasil,CP2010BRA,EMIGRA,M0304,Marca de imputação da V0304,integer,sin_clasificar
brasil,CP2010BRA,EMIGRA,M0305,Marca de imputação da V0305,integer,sin_clasificar
