name,label,typeName,alias,country,dataset,dictionary,entity,theme_hits
FINVTOT,Filhos nascidos vivos (total),integer,V6633,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,vivienda;entidad
FIULT,Existência de filho tido nascido vivo no último ano,integer,V6664,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,vivienda;entidad
FIULTVIVO,Este filho estava vivo,integer,V0667,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,vivienda;entidad
FIVIHOM,Filhos vivos (homens),integer,V6641,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,vivienda;entidad
FIVIID,Idade do último filho nascido vivo,integer,V6660,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,vivienda;edad;entidad
FIVIMUL,Filhas vivas (mulheres),integer,V6642,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,vivienda;sexo;entidad
FIVISEXO,Sexo do último filho nascido vivo,integer,V0665,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,vivienda;sexo;entidad
FIVITOT,Filhos vivos (total),integer,V6643,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,vivienda;entidad
FIXOU,Ano que fixou residência no Brasil,integer,V0621,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
FREQMUN,Município que frequentava escola (ou creche),integer,V6364,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,escolaridad;entidad
FREQONDE,Município e UF ou País Estrangeiro que frequentava escola (ou creche),integer,V0636,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,escolaridad;geografia;entidad
FREQPAIS,País estrangeiro que frequentava escola (ou creche),integer,V6366,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,escolaridad;entidad
FREQUENTA,Frequenta escola ou creche,integer,V0628,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,escolaridad;entidad
FREQUF,UF que frequentava escola (ou creche),integer,V6362,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,escolaridad;geografia;entidad
HORAS,Horas trabalhadas por semana no trabalho principal,integer,V0653,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
IDADE,Idade em anos,integer,V6036,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,edad;entidad
IDADEAM,Idade em anos e meses,integer,V6033,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,edad;entidad
IDADEF,Forma de declaração da idade,integer,V6040,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,edad;entidad
IDADEM,Idade em meses,integer,V6037,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,edad;entidad
INFORDEM,Nº de ordem do informante (outro morador),integer,V0671,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
INFORMA,Quem prestou informações,integer,V0670,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
MAEVIVA,Tem mãe viva,integer,V0604,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,vivienda;entidad
MENTAL,Deficiência Mental/Intelectual permanente,integer,V0617,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
MORTHOM,Filhos nascidos mortos (homens),integer,V6691,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
MORTMUL,Filhas nascidas mortas (mulheres),integer,V6692,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,sexo;entidad
MORTOS,Teve filhos nascidos mortos,integer,V0669,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
MORTTOT,Filhos nascidos mortos (total),integer,V6693,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
MUDARONDE,UF e Munic ou País Estrangeiro antes de mudar-se,integer,V0625,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,geografia;entidad
MUNICANT,Município de residência anterior,integer,V6254,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
NACION,Nacionalidade,integer,V0620,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,edad;entidad
NASCONDE,UF ou país estrangeiro de nascimento,integer,V0622,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,geografia;entidad
NASCPAIS,País estrangeiro de nascimento,integer,V6224,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
NASCUF,Unidade da Federação de Nascimento,integer,V6222,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,edad;geografia;entidad
NATUREZA,Natureza da união,integer,V0639,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
NIVEL,Nível de instrução,integer,V6400,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,escolaridad;entidad
NUMMAE,Número de ordem da mãe da pessoa,integer,V0605,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
OCUP,Ocupação,integer,V6461,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
OCUP2000,Qual era a ocupação que exercia no trabalho que tinha? - código 2000,integer,V6462,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,geografia;entidad
ORDEM,Ordem lógica,integer,V0504,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
ORDEMCONJ,Número de ordem do Cônjuge ou Companheiro(a),integer,V0638,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
OUTRFONT,"Tinha rendimento mensal de outras fontes (juros, pensão, aluguel, etc.)",integer,V0659,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
OUTROCUR,Conclusão de outro curso superior de graduação,integer,V0632,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,escolaridad;entidad
OUTRPROG,Tinha rendimento mensal de outros programas sociais ou de transferências,integer,V0658,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
OUTRVALOR,"Rendimento (valor) total de outras fontes (aluguel, aposentadoria...)",integer,V6591,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
OUVIR,Dificuldade permanente de Ouvir,integer,V0615,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
PAISANT,País estrangeiro de residência anterior,integer,V6256,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
PAISANTA,País estrangeiro de residência anterior - 3 dígitos,integer,V6256A,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
PAISFREQA,País estrangeiro que frequentava escola (ou creche) - 3 dígitos,integer,V6366A,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,escolaridad;entidad
PAISNASCA,País estrangeiro de nascimento - 3 dígitos,integer,V6224A,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
PAISRESIDA,País de residência em 31 de julho de 2005 - 3 dígitos,integer,V6266A,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
PAISTRABA,País estrangeiro que trabalhava - 3 dígitos,integer,V6606A,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
PARENT,Relação de parentesco com a pessoa responsável,integer,V0502,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
PLANTACAO,"Trabalhou na plantação, criação animais ou pesca",integer,V0644,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
POSICAO,Posição na Ocupação,integer,V0648,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
POSOCUP,Posição na ocupação e categoria do emprego,integer,V6930,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
PPESO,Peso Amostral,real,V0010,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,ponderador;entidad
PREVID,Contribuinte de Instituto de Previdência,integer,V0650,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
PREVPRI,Condição de contribuição para instituto de previdência oficial no trabalho principal,integer,V5110,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
PREVQQ,Condição de contribuição para instituto de previdência oficial em qualquer trabalho,integer,V5120,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
REGISTRO,Registro de Nascimento,integer,V0613,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
RELIGIAO,Religiao,integer,V6121,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
RELIGIAOG,Religião ou culto - grupo,integer,V6121A,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,edad;entidad
RENDOUTS,Rendimento nos demais trabalhos em salários mínimos,real,V6524,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
RENDOUTT,Tipo de rendimento bruto nos demais trabalhos,integer,V0652,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
RENDOUTV,Rendimento bruto (valor) mensal nos demais trabalhos,integer,V6521,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
RENDSM,Rendimento no trabalho principal em salários mínimos,integer,V6514,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
RENDTIPO,Tipo de rendimento bruto no trabalho principal,integer,V0651,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
RENDTOT,Rendimento mensal total,integer,V6527,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
RENDTOTSM,Rendimento mensal total em salários mínimos,real,V6528,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
RENDTOTT,Rendimento em todos os trabalhos,integer,V6525,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
RENDTOTTS,Rendimento em todos os trabalhos em salários mínimos,real,V6526,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
RENDTRAB,Rendimento no trabalho principal,integer,V6513,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
RENDVALOR,Rendimento bruto (valor) mensal no trabalho principal,integer,V6511,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
RESIDMUN,Município de residência em 31 de Julho de 2005,integer,V6264,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
RESIDONDE,Residência em 31 de Julho de 2005,integer,V0626,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
RESIDPAIS,País de residência em 31 de Julho de 2005,integer,V6266,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
RESIDUF,UF de residência em 31 de Julho de 2005,integer,V6262,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,geografia;entidad
RETORNA,Retorna do trabalho para casa diariamente,integer,V0661,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,vivienda;entidad
SABELER,Sabe ler e escrever,integer,V0627,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
SERIE,Série que frequenta,integer,V0631,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
SERIEANO,Série / Ano que frequenta,integer,V0630,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
SEXO,Sexo,integer,V0601,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,sexo;entidad
SITOCUP,Situação de ocupação,integer,V6920,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
TEMFIVI,Tem filhos vivos,integer,V0664,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,vivienda;entidad
TEMPO,Tempo de deslocamento para o trabalho,integer,V0662,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
TEMPOMUN,Tempo de moradia no município,integer,V0624,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
TEMPOUF,Tempo de moradia na UF,integer,V0623,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,geografia;entidad
TEVEFINV,Teve filhos e filhas nascidos vivos,integer,V0663,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,vivienda;entidad
TINHA,Tinha trabalho mas estava afastado,integer,V0642,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
TOMOU,Tomou alguma providência para conseguir trabalho,integer,V0654,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
TRABALHOS,Quantos trabalhos tinha,integer,V0645,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
TRABALHOU,"Trabalhou ganhando dinheiro, produtos, mercadorias ou benefícios",integer,V0641,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
TRABMUN,Munic que trabalha,integer,V6604,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
TRABONDE,Em que Munic e UF ou País trabalha,integer,V0660,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,geografia;entidad
TRABPAIS,País estrangeiro que trabalha,integer,V6606,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,entidad
TRABUF,UF que trabalha,integer,V6602,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,geografia;entidad
UFANT,UF de residência anterior,integer,V6252,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,geografia;entidad
UFANTA,UF de residência anterior - 2 dígitos,integer,V6252A,brasil,CP2010BRA,data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx,PESSOA,geografia;entidad
