name,label,typeName,alias,country,dataset,dictionary,entity,theme_hits
C5P24,P12a+: Estado civil o conyugal,integer,ECIVIL,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PERSONA,geografia;entidad
C5P25,P12a+: Por sus costumbres y sus antepasados Ud. se considera:,integer,AUTOINDG,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PERSONA,entidad
C5P26,P12a+: Religión que profesa,integer,RELIGION,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PERSONA,entidad
C5P27,Pm12a+: Nro. total de hijos/as que ha tenido - Nacidos vivos,integer,NHIJOSNV,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PERSONA,vivienda;entidad
C5P271,Pm12a+: Ningún hijo nacido vivo,integer,,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PERSONA,vivienda;entidad
C5P28,Pm12a+: Nro. total de hijos/as que actualmente - Están vivos,integer,NHIJOSAV,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PERSONA,vivienda;entidad
C5P281,Pm12a+: Ningún hijo actualmente vivo,integer,,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PERSONA,vivienda;entidad
C5P291,Pm12a+: Su último hijo nacido vivo - Mes,integer,,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PERSONA,vivienda;entidad
C5P292,Pm12a+: Su último hijo nacido vivo  - Año,integer,,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PERSONA,vivienda;entidad
C5P41,P: Edad en años,integer,EDAD,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PERSONA,edad;entidad
C5P41M,P: Edad en meses,integer,EDADES,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PERSONA,edad;entidad
C5P5,P: ¿Vive permanentemente en este distrito?,integer,,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PERSONA,vivienda;geografia;entidad
C5P5BCOD,P: Departamento donde vive permanentemente,integer,,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PERSONA,vivienda;geografia;entidad
C5P5DI,P: Distrito o país donde vive permanentemente,integer,,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PERSONA,vivienda;geografia;entidad
C5P5PV,P: Provincia o continente donde vive permanentemente,integer,,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PERSONA,vivienda;geografia;entidad
C5P6,P: ¿Hace 5 años vivía en este distrito?,integer,,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PERSONA,vivienda;edad;geografia;entidad
C5P6BCOD,P: Departamento donde vivía hace 5 años,integer,,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PERSONA,vivienda;edad;geografia;entidad
C5P6DI,P: Distrito o país donde vivía hace 5 años,integer,,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PERSONA,vivienda;edad;geografia;entidad
C5P6PV,P: Provincia o continente donde vivía hace 5 años,integer,,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PERSONA,vivienda;edad;geografia;entidad
C5P7,P: Cuándo ud nació ¿Vivía su madre en este distrito?,integer,,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PERSONA,vivienda;geografia;entidad
C5P7BCOD,P: Departamento donde vivía su madre,integer,,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PERSONA,vivienda;geografia;entidad
C5P7DI,P: Distrito o país donde vivía su madre,integer,,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PERSONA,vivienda;geografia;entidad
C5P7PV,P: Provincia o continente donde vivía su madre,integer,,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PERSONA,vivienda;geografia;entidad
C5P81,P: Población afiliada: al SIS,integer,,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PERSONA,entidad
C5P82,P: Población afiliada: a EsSalud,integer,,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PERSONA,entidad
C5P83,P: Población afiliada: a seguro de fuerzas armadas o policiales,integer,,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PERSONA,entidad
C5P84,P: Población afiliada: a seguro privado de salud,integer,,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PERSONA,entidad
C5P85,P: Población afiliada: a otro seguro,integer,,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PERSONA,entidad
C5P86,P: Población afiliada: a ningún seguro,integer,,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PERSONA,entidad
C5P91,P: Población con discapacidad: Ver,integer,,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PERSONA,entidad
C5P92,P: Población con discapacidad: Oír,integer,,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PERSONA,entidad
C5P93,P: Población con discapacidad: Hablar,integer,,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PERSONA,entidad
C5P94,P: Población con discapacidad: Moverse o caminar para usar brazos y piernas,integer,,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PERSONA,entidad
C5P95,P: Población con discapacidad: Entender o aprender,integer,,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PERSONA,entidad
C5P96,P: Población con discapacidad: Relacionarse con los demás,integer,,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PERSONA,entidad
