country,dataset,entity,name,label,typeName,tema,subtema
argentina,CP2010ARG,VIVIENDA,V01,Tipo de vivienda particular,integer,vivienda,vivienda_general
argentina,CP2010ARG,VIVIENDA,V01C,Casa tipo B,integer,vivienda,vivienda_general
argentina,CP2010ARG,VIVIENDA,V02,Condición de ocupación,integer,vivienda,vivienda_general
argentina,CP2010ARG,VIVIENDA,V03,Cantidad de hogares,integer,vivienda,vivienda_general
brasil,CP2010BRA,DOMICIL,AGUA,Abastecimento de água,integer,vivienda,agua
brasil,CP2010BRA,DOMICIL,ELETRIC,Energia elétrica,integer,vivienda,electricidad
brasil,CP2010BRA,DOMICIL,MEDIDOR,Medidor ou relógio para energia elétrica,integer,vivienda,electricidad
brasil,CP2010BRA,DOMICIL,PAREDES,Paredes externas,integer,vivienda,materialidad
brasil,CP2010BRA,DOMICIL,ALUGUEL,Valor do aluguel,integer,vivienda,vivienda_general
brasil,CP2010BRA,DOMICIL,ALUGUELSM,Aluguel em nº de salários mínimos,real,vivienda,vivienda_general
brasil,CP2010BRA,DOMICIL,AUTO,"Automóvel para uso particular, existência",integer,vivienda,vivienda_general
brasil,CP2010BRA,DOMICIL,BANHEIROS,Banheiros de uso exclusivo,integer,vivienda,vivienda_general
brasil,CP2010BRA,DOMICIL,CANALIZ,Água canalizada,integer,vivienda,vivienda_general
brasil,CP2010BRA,DOMICIL,CELULAR,"Telefone celular, existência",integer,vivienda,vivienda_general
brasil,CP2010BRA,DOMICIL,COMODOS,Cômodos,integer,vivienda,vivienda_general
brasil,CP2010BRA,DOMICIL,CONDOCUP,Condição de ocupação,integer,vivienda,vivienda_general
brasil,CP2010BRA,DOMICIL,CONTROLE,Controle,integer,vivienda,vivienda_general
brasil,CP2010BRA,DOMICIL,DENSICOM,Densidade de moradores por cômodo,integer,vivienda,vivienda_general
brasil,CP2010BRA,DOMICIL,DENSIDOR,Densidade de moradores por dormitório,integer,vivienda,vivienda_general
brasil,CP2010BRA,DOMICIL,DORMIT,Dormitórios,integer,vivienda,vivienda_general
brasil,CP2010BRA,DOMICIL,DPESO,Peso Amostral,real,vivienda,vivienda_general
brasil,CP2010BRA,DOMICIL,ESGOTO,Esgotamento sanitário,integer,vivienda,vivienda_general
brasil,CP2010BRA,DOMICIL,ESPECIE,Espécie de Unidade Visitada,integer,vivienda,vivienda_general
brasil,CP2010BRA,DOMICIL,ESPECIED,Espécie da Unidade Doméstica,integer,vivienda,vivienda_general
brasil,CP2010BRA,DOMICIL,FALECEU,Alguém faleceu nos 12 meses anteriores,integer,vivienda,vivienda_general
brasil,CP2010BRA,DOMICIL,FORA,Alguém reside fora do país,integer,vivienda,vivienda_general
brasil,CP2010BRA,DOMICIL,GELADEIRA,"Geladeira, existência",integer,vivienda,vivienda_general
brasil,CP2010BRA,DOMICIL,INTERNET,"Microcomputador com acesso à internet, existência",integer,vivienda,vivienda_general
brasil,CP2010BRA,DOMICIL,LAVAR,"Máquina de lavar roupa, existência",integer,vivienda,vivienda_general
brasil,CP2010BRA,DOMICIL,LIXO,"Lixo, destino",integer,vivienda,vivienda_general
brasil,CP2010BRA,DOMICIL,MICROCOMP,"Microcomputador, existência",integer,vivienda,vivienda_general
brasil,CP2010BRA,DOMICIL,MORADOR,Quantos moradores,integer,vivienda,vivienda_general
brasil,CP2010BRA,DOMICIL,MOTO,"Motocicleta para uso particular, existência",integer,vivienda,vivienda_general
brasil,CP2010BRA,DOMICIL,PERCAPITA,Rendimento mensal domiciliar per capita,integer,vivienda,vivienda_general
brasil,CP2010BRA,DOMICIL,PERCAPTAS,Rendimento mensal domiciliar per capita em Salários Mínimos,real,vivienda,vivienda_general
brasil,CP2010BRA,DOMICIL,PESO,Peso Amostral,real,vivienda,vivienda_general
brasil,CP2010BRA,DOMICIL,RADIO,"Rádio, existência",integer,vivienda,vivienda_general
brasil,CP2010BRA,DOMICIL,RENDIM,Rendimento mensal domiciliar,integer,vivienda,vivienda_general
brasil,CP2010BRA,DOMICIL,RENDIMSM,Rendimento mensal domiciliar em Salários Mínimos,real,vivienda,vivienda_general
brasil,CP2010BRA,DOMICIL,RESPONSA,Responsabilidade pelo domicílio,integer,vivienda,vivienda_general
brasil,CP2010BRA,DOMICIL,SANITAR,Sanitário ou buraco para dejeções,integer,vivienda,vivienda_general
brasil,CP2010BRA,DOMICIL,SITUACAO,Situação do domicílio,integer,vivienda,vivienda_general
brasil,CP2010BRA,DOMICIL,TELEFONE,"Telefone fixo, existência",integer,vivienda,vivienda_general
brasil,CP2010BRA,DOMICIL,TIPO,Tipo de Espécie,integer,vivienda,vivienda_general
brasil,CP2010BRA,DOMICIL,TV,Televisão,integer,vivienda,vivienda_general
brasil,CP2010BRA,PESSOA,FILHOST,Filhos tidos total (nascidos vivos e nascidos mortos),integer,vivienda,vivienda_general
