country_guess,dataset_folder,path,file_name,extension,size_bytes,size_mb,likely_role,readable_by_duckdb,notes
Chile,BaseOrg16,data/extracted/CP2017CHL/BaseOrg16/CPV2017-16_COMUNA_REDCODEN.rbf,CPV2017-16_COMUNA_REDCODEN.rbf,.rbf,692,0.0,unknown,no,"Ext: .rbf, Name: CPV2017-16_COMUNA_REDCODEN.RBF"
Brasil,IndFinal,data/extracted/Cp1991BRA/Celade/Programas/ParaIndicSocEc_PanoramaSoc2005/IndFinal/7INDISEBR91.spc,7INDISEBR91.spc,.spc,589,0.0,unknown,no,"Ext: .spc, Name: 7INDISEBR91.SPC"
Brasil,ParaEstimaciones,data/extracted/Cp1991BRA/Celade/Programas/ParaIndicSocEc_PanoramaSoc2005/ParaEstimaciones/TestVarsHijOrig.spc,TestVarsHijOrig.spc,.spc,576,0.0,unknown,no,"Ext: .spc, Name: TESTVARSHIJORIG.SPC"
Brasil,Educ,data/extracted/Cp1991BRA/Celade/Programas/ParaIndicSocEc_PanoramaSoc2005/Educ/2NEDUHOG_BR91.spc,2NEDUHOG_BR91.spc,.spc,564,0.0,unknown,no,"Ext: .spc, Name: 2NEDUHOG_BR91.SPC"
Brasil,Educ,data/extracted/Cp2000BRA/Celade/Programas/ParaIndicSocEc_PanoramaSoc2005/Educ/2NEDUHOG_BR02.spc,2NEDUHOG_BR02.spc,.spc,563,0.0,unknown,no,"Ext: .spc, Name: 2NEDUHOG_BR02.SPC"
Brasil,ParaEstimaciones,data/extracted/Cp1991BRA/Celade/Programas/ParaIndicSocEc_PanoramaSoc2005/ParaEstimaciones/CreaHijultan91.spc,CreaHijultan91.spc,.spc,557,0.0,unknown,no,"Ext: .spc, Name: CREAHIJULTAN91.SPC"
Brasil,ParaEstimaciones,data/extracted/Cp2000BRA/Celade/Programas/ParaIndicSocEc_PanoramaSoc2005/ParaEstimaciones/CreaHijultan2002.spc,CreaHijultan2002.spc,.spc,553,0.0,unknown,no,"Ext: .spc, Name: CREAHIJULTAN2002.SPC"
Brasil,BaseOriginal,data/extracted/Cp1991BRA/BaseOriginal/C1020008.PTR,C1020008.PTR,.ptr,552,0.0,unknown,no,"Ext: .ptr, Name: C1020008.PTR"
Brasil,IndFinal,data/extracted/Cp2000BRA/Celade/Programas/ParaIndicSocEc_PanoramaSoc2005/IndFinal/7INDISEBR02.spc,7INDISEBR02.spc,.spc,532,0.0,unknown,no,"Ext: .spc, Name: 7INDISEBR02.SPC"
Brasil,Equip,data/extracted/Cp1991BRA/Celade/Programas/ParaIndicSocEc_PanoramaSoc2005/Equip/1VAREA_BR91.spc,1VAREA_BR91.spc,.spc,476,0.0,unknown,no,"Ext: .spc, Name: 1VAREA_BR91.SPC"
Brasil,BaseR,data/extracted/CP2010BRA/BaseR/CPV2010BRA Amostra.prjX,CPV2010BRA Amostra.prjX,.prjx,402,0.0,unknown,no,"Ext: .prjx, Name: CPV2010BRA AMOSTRA.PRJX"
Peru,BasePub,data/extracted/CP2007PER/CP2007PER/BasePub/CPV2007PER_PUB.prjX,CPV2007PER_PUB.prjX,.prjx,399,0.0,unknown,no,"Ext: .prjx, Name: CPV2007PER_PUB.PRJX"
Chile,BaseOrg16,data/extracted/CP2017CHL/BaseOrg16/CPV2017-16 regiones.prjX,CPV2017-16 regiones.prjX,.prjx,397,0.0,unknown,no,"Ext: .prjx, Name: CPV2017-16 REGIONES.PRJX"
Peru,BaseR,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D-0001.rbf,CPVPER2017D-0001.rbf,.rbf,392,0.0,unknown,no,"Ext: .rbf, Name: CPVPER2017D-0001.RBF"
Peru,BasePub,data/extracted/CP2007PER/CP2007PER/BasePub/Peru0001.rbf,Peru0001.rbf,.rbf,390,0.0,unknown,no,"Ext: .rbf, Name: PERU0001.RBF"
Argentina,BASE_AMP_DPTO,data/extracted/CP2010ARG/BASE_AMP_DPTO/Provincias.TXT,Provincias.TXT,.txt,348,0.0,unknown,no,"Ext: .txt, Name: PROVINCIAS.TXT"
Chile,Censo2017_Nombres_Id_Geogrаfica,data/extracted/CP2017CHL/Docs/Censo2017_Nombres_Id_Geogrаfica/Glosas_REGION.txt,Glosas_REGION.txt,.txt,339,0.0,unknown,no,"Ext: .txt, Name: GLOSAS_REGION.TXT"
Chile,Censo2017_Nombres_Id_Geogrаfica,data/extracted/CP2017CHL/Docs/Censo2017_Nombres_Id_Geogrаfica/Glosas_REGION_15R.txt,Glosas_REGION_15R.txt,.txt,328,0.0,unknown,no,"Ext: .txt, Name: GLOSAS_REGION_15R.TXT"
Brasil,BaseR,data/extracted/CP2010BRA/BaseR/CD2010_003.rbf,CD2010_003.rbf,.rbf,320,0.0,unknown,no,"Ext: .rbf, Name: CD2010_003.RBF"
Brasil,Equip,data/extracted/Cp1991BRA/Celade/Programas/ParaIndicSocEc_PanoramaSoc2005/Equip/1PAREA_BR91.spc,1PAREA_BR91.spc,.spc,286,0.0,unknown,no,"Ext: .spc, Name: 1PAREA_BR91.SPC"
Brasil,Equip,data/extracted/Cp2000BRA/Celade/Programas/ParaIndicSocEc_PanoramaSoc2005/Equip/1PAREA_BR02.spc,1PAREA_BR02.spc,.spc,274,0.0,unknown,no,"Ext: .spc, Name: 1PAREA_BR02.SPC"
Brasil,BaseOriginal,data/extracted/Cp1991BRA/BaseOriginal/C1020006.BIN,C1020006.BIN,.bin,274,0.0,unknown,no,"Ext: .bin, Name: C1020006.BIN"
Chile,BaseOrg16,data/extracted/CP2017CHL/BaseOrg16/CPV2017-1603.ptr,CPV2017-1603.ptr,.ptr,228,0.0,unknown,no,"Ext: .ptr, Name: CPV2017-1603.PTR"
Brasil,BaseOriginal,data/extracted/Cp2000BRA/BaseOriginal/CD1020002.rbf,CD1020002.rbf,.rbf,200,0.0,unknown,no,"Ext: .rbf, Name: CD1020002.RBF"
Brasil,BaseOriginal,data/extracted/Cp1991BRA/BaseOriginal/IND1log.tmp,IND1log.tmp,.tmp,157,0.0,unknown,no,"Ext: .tmp, Name: IND1LOG.TMP"
Brasil,BaseOriginal,data/extracted/Cp2000BRA/BaseOriginal/CD1020003.PTR,CD1020003.PTR,.ptr,112,0.0,unknown,no,"Ext: .ptr, Name: CD1020003.PTR"
